timestamp,param5,param6,param1,param2,param3,param4,param7,command,source_component,target_system,target_component,source_system,confirmation,from_external
1777225991681000,0.0,0.0,1.0,4.0,4.0,0.0,0.0,176,0,1,1,255,0,1
1777225992357000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,0,1,1,255,0,1
1777226025709000,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,0,1,0,0
1777226025977000,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
1777226025977000,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,1,0,1,0,0
1777226025977000,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
1777226030969000,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
1777226030969000,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,1,0,1,0,0
1777226030969000,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
1777226087393000,0.0,0.0,0.0,2.0,80.0,nan,488.0338,0,1,1,0,1,0,0
