timestamp,mission_id,geofence_id,home_position_counter,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,item_do_jump_changed,execution_mode
1777227500321000,2856735839,0,109,-1,1,5,0,0,1,0,0,0,0,0
1777227552657000,2856735839,0,109,-1,1,5,0,0,1,0,0,0,0,0
1777227574593000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227574637000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227574685000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227574733000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227574789000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227574837000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227574885000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227574933000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227574989000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227575037000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227575085000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227575133000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227575189000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227575237000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227575285000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227575333000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227575341000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227575397000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227575445000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227575493000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227575541000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227575597000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227575645000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227575693000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227575741000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227575797000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227575845000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227575893000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227575941000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227575997000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227576045000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227576093000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227576141000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227576197000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227576245000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227576293000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227576341000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227576349000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227576405000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227576453000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227576501000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
1777227576549000,2856735839,0,109,-1,1,5,0,0,1,0,1,0,0,0
