timestamp,latitude,longitude,time_inside,acceptance_radius,loiter_radius,yaw,altitude,sequence_current,nav_cmd,frame,origin,loiter_exit_xtrack,force_heading,altitude_is_relative,autocontinue,vtol_back_transition
1777225797569000,47.397743,8.545594,0.0,0.0,0.0,nan,502.99612,0,22,0,0,0,0,0,1,0
1777225812945000,47.397743,8.545594,0.0,0.0,0.0,nan,15.0,0,16,0,0,0,0,1,1,0
1777225812993000,47.39819,8.545594,0.0,0.0,0.0,0.0,15.0,1,16,0,0,0,0,1,1,0
1777225824081000,47.39864,8.545594,0.0,0.0,0.0,0.0,15.0,2,16,0,0,0,0,1,1,0
1777225834121000,47.39909,8.545594,0.0,0.0,0.0,0.0,15.0,3,16,0,0,0,0,1,1,0
1777225835737000,47.39909,8.545594,0.0,2.0,80.0,0.0,502.99612,3,17,1,0,0,0,0,0,0
1777225860269000,47.39909,8.545591,0.0,2.0,80.0,-0.0066312845,517.9961,0,31,1,0,0,0,0,1,0
1777225870713000,47.397743,8.545594,0.0,2.0,80.0,nan,517.9961,1,16,1,0,0,0,0,1,0
1777225902769000,47.397743,8.545594,0.0,2.0,80.0,0.015219545,487.99612,7,21,1,0,0,0,0,1,0
1777225931553000,47.397743,8.545594,0.0,2.0,80.0,nan,487.99612,8,0,1,0,0,0,0,1,0
