timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
1777318619319000,1777318619319000,0,nan,nan,-0.0062241647,0.0005345912,-0.009017265,-9.408454e-09,-1.1454046e-08,0.0,-0.032656513,0.0020574029,-0.040550977,-0.039369013,-2.3521134e-06,-2.8635113e-06,0.00042909384,-0.082111545,0.01475777,-0.09113456,0.037970055,0.0,nan,0.10360044,1.4228792,7.156663,6.9953976,3.1528726,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1777318619327000,1777318619327000,0,nan,nan,-0.006463405,0.0005470396,-0.009322062,-9.408454e-09,-1.1454046e-08,0.0,-0.033137176,0.001940121,-0.04110756,-0.039949227,-2.3521134e-06,-2.8635113e-06,0.00042909384,-0.054057613,-0.035028554,-0.08681323,0.038021445,0.0,nan,0.10363663,1.4787127,7.1611624,6.9965396,3.152875,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1777318619335000,1777318619335000,0,nan,nan,-0.0067075584,0.0005581929,-0.009634042,-9.408454e-09,-1.1454046e-08,0.0,-0.033734083,0.0018900316,-0.04210328,-0.04096802,-2.3521134e-06,-2.8635113e-06,0.00042909384,-0.07756601,0.015748134,-0.116324045,0.038052395,0.0,nan,0.10367358,1.5351148,7.1657696,6.997711,3.1528773,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1777318619343000,1777318619343000,0,nan,nan,-0.00695739,0.0005705669,-0.009953639,-9.408454e-09,-1.1454046e-08,0.0,-0.034358192,0.002151849,-0.042915836,-0.04180311,-2.3521134e-06,-2.8635113e-06,0.00042909384,-0.07762134,0.035766136,-0.104290426,0.038109258,0.0,nan,0.10371173,1.5920175,7.1704836,6.9989066,3.1528795,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1777318619351000,1777318619351000,0,nan,nan,-0.007212997,0.0005851686,-0.010280229,-9.408454e-09,-1.1454046e-08,0.0,-0.034998216,0.0024202592,-0.04369476,-0.04260404,-2.3521134e-06,-2.8635113e-06,0.00042909384,-0.07879649,0.03297797,-0.09470991,0.038118027,0.0,nan,0.10375132,1.6493618,7.1753035,7.0001287,3.1528819,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1777318619359000,1777318619359000,0,nan,nan,-0.0074739796,0.0006008999,-0.01061378,-9.408454e-09,-1.1454046e-08,0.0,-0.035498396,0.0023050683,-0.04453395,-0.043464724,-2.3521134e-06,-2.8635113e-06,0.00042909384,-0.053602982,-0.044013698,-0.10480545,0.038225956,0.0,nan,0.103792235,1.7070966,7.1802287,7.001378,3.152884,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1777318619367000,1777318619367000,0,nan,nan,-0.007739459,0.0006140862,-0.01095351,-9.408454e-09,-1.1454046e-08,0.0,-0.036052607,0.0019767387,-0.045018848,-0.043970615,-2.3521134e-06,-2.8635113e-06,0.00042909384,-0.08484472,-0.018930234,-0.03733206,0.038319863,0.0,nan,0.103833444,1.7651767,7.185259,7.002656,3.1528864,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1777318619375000,1777318619375000,0,nan,nan,-0.007878151,0.0006160119,-0.0112144705,-9.408454e-09,-1.1454046e-08,0.0,-0.036472477,0.0018471683,-0.04518638,-0.04407708,-2.3521134e-06,-2.8635113e-06,0.00042909384,-0.10701073,-0.015156169,-0.041861083,0.03837028,0.0,nan,0.10631957,0.6592777,5.837909,3.5818896,3.135155,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1777318619383000,1777318619383000,0,nan,nan,-0.008019804,0.0006177642,-0.011482067,-9.408454e-09,-1.1454046e-08,0.0,-0.0366285,0.0020075887,-0.04592152,-0.044753555,-2.3521134e-06,-2.8635113e-06,0.00042909384,-0.07168381,0.043660793,-0.09715836,0.038322594,0.0,nan,0.106279366,0.6808719,5.842185,3.5830579,3.135157,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1777318619391000,1777318619391000,0,nan,nan,-0.008162463,0.0006216426,-0.011757097,-9.408454e-09,-1.1454046e-08,0.0,-0.036572922,0.0022580072,-0.046276066,-0.04505178,-2.3521134e-06,-2.8635113e-06,0.00042909384,-0.044670217,0.027808066,-0.026874242,0.038235284,0.0,nan,0.10624218,0.70327854,5.8465905,3.5842805,3.1351595,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
